EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,ALTITUDE,BRG,AIR_GND_CODE,CHK_DESC,ARPT_ID,STATE_CHK_CODE
2025/03/20,SVC,VOR/DME,NM,SILVER CITY,US,,100,G,0.9 NM - TWY ENTRANCE TO RWY 26 WEST OF AER,SVC,NM
2025/03/20,SWO,VOR/DME,OK,STILLWATER,US,,176,G,4 NM ON TWY A BTN A3 AND A4.,SWO,OK
2025/03/20,SYA,VORTAC,AK,SHEMYA,US,,96,G,1.8 NM - TWY IN FRONT OF TWR,SYA,AK
2025/03/20,TCC,VORTAC,NM,TUCUMCARI,US,,258,G,0.5 NM - 100 FT IN FRONT OF TERM ON TWY,TCC,NM
2025/03/20,TCS,VORTAC,NM,TRUTH OR CONSEQUENCES,US,,154,G,3.1 NM - ON TWY A 2000 FT FM APCH END RWY 31,TCS,NM
2025/03/20,TOP,VORTAC,KS,TOPEKA,US,,215,G,5.6 NM EAST SIDE OF TERMINAL RAMP.,TOP,KS
2025/03/20,TRM,VORTAC,CA,PALM SPRINGS,US,,329,G,.3 NM ON CNTRLN OF TWY 375 FT IN FRONT OF HANGAR.,TRM,CA
2025/03/20,TUS,VORTAC,AZ,TUCSON,US,,318,G,0.7 NM - ON RUNUP PAD NE OF TWY A17,TUS,AZ
2025/03/20,TUT,VORTAC,AS,PAGO PAGO,US,,242,G,0.8 NM ON TWY RY 05,PPG,AS
2025/03/20,TWF,VORTAC,ID,TWIN FALLS,US,,65,G,.8 NM RUNUP AREA AT APCH END RWY 26.,TWF,ID
2025/03/20,TYR,VOR/DME,TX,TYLER,US,,82,G,.5 NM AT INTERSECTION TWYS D & H.,TYR,TX
2025/03/20,UNZ,VORTAC,GU,AGANA,US,,63,G,3.3 NM - TWY A BTN RY 06L & RY 06R,GUM,GU
2025/03/20,UTI,VOR/DME,UT,ST GEORGE,US,,5,G,1.9 NM - RUN UP AREA TWY B1.,SGU,UT
2025/03/20,UTI,VOR/DME,UT,ST GEORGE,US,,11,G,1.9 NM - RUN UP AREA TWY A1.,SGU,UT
2025/03/20,VCT,VOR/DME,TX,VICTORIA,US,,128,G,3.2 NM AT APPROACH END OF RWY 13.,VCT,TX
2025/03/20,VNA,VORTAC,GA,VIENNA,US,1300.0,226,A,19 NM OVER CENTER OF NE/SW RWY,CKF,GA
2025/03/20,VNY,VOR/DME,CA,VAN NUYS,US,,161,G,1.6 NM ON WEST RUNUP AREA RWY 34L.,VNY,CA
